Job Class,Percentage,Link
Management,6.1,https://www.wikihow.com/Category:Brand-Management
Business and Financial operations,5,https://www.wikihow.com/Category:Franchise-Business
Computer and Mathematical,2.7,https://www.wikihow.com/Category:Basic-Computer-Skills
Architecture and Engineering,1.7,https://www.wikihow.com/Category:Architecture-and-Design-Occupations
"Life, Physical and Social Science",0.9,https://www.wikihow.com/Category:Science-Careers
Community and Social Service,1.6,https://www.wikihow.com/Category:Volunteer-and-Community-Service
Legal,0.8,https://www.wikihow.com/Category:Communications-Law
"Education, training and library",6.1,https://www.wikihow.com/Category:Education-and-Communications
"Arts, design, entertainment, sports and media",1.7,https://www.wikihow.com/Entertain-a-Girl
Healthcare practioners and technical,5.5,https://www.wikihow.com/Category:Healthcare-Careers
Healthcare support,2.8,https://www.wikihow.com/Find-a-Job-in-Healthcare-Administration
Protective service,2.3,https://www.wikihow.com/Join-the-Police-Academy
Food preparation and serving,8.3,https://www.wikihow.com/Sell-Homemade-Food
Building and grounds cleaning and maintenance,3.7,https://www.wikihow.com/Start-a-Maid-Service
Personal care and service,4,https://www.wikihow.com/Category:Personal-Care-for-Youth
Sales,10.2,https://www.wikihow.com/Category:Selling
Office and administrative support,15.1,https://www.wikihow.com/Become-an-Administrative-Assistant
"Farming, fishing and forestry",0.6,https://www.wikihow.com/Build-a-Basic-Farm-in-Minecraft
Construction and extraction,4.3,https://www.wikihow.com/Build-a-Building
"Installation, maintenance and repair",3.8,https://www.wikihow.com/Become-an-Auto-Body-Repair-Technician
Production,6.1,https://www.wikihow.com/Produce-Electricity-from-Cow-Dung
Transportation and material moving,6.5,https://www.wikihow.com/Transport-Fish
Total,99.8,LINK
